Leaky ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目980.9021223187447 分、2回目887.146327996254 分、3回目974.852148671945分
Step 700, Loss 0.0582
Step 800, Loss 0.0577
Step 900, Loss 0.0574
Step 999, Loss 0.0572
21 回目
Step 0, Loss 6.8616
Step 100, Loss 0.2564
Step 200, Loss 0.0741
Step 300, Loss 0.0651
Step 400, Loss 0.0616
Step 500, Loss 0.0600
Step 600, Loss 0.0590
Step 700, Loss 0.0580
Step 800, Loss 0.0573
Step 900, Loss 0.0571
Step 999, Loss 0.0583
22 回目
Step 0, Loss 5.5821
Step 100, Loss 0.1751
Step 200, Loss 0.0641
Step 300, Loss 0.0616
Step 400, Loss 0.0601
Step 500, Loss 0.0608
Step 600, Loss 0.0589
Step 700, Loss 0.0585
Step 800, Loss 0.0592
Step 900, Loss 0.0579
Step 999, Loss 0.0575
23 回目
Step 0, Loss 7.8107
Step 100, Loss 0.1205
Step 200, Loss 0.0689
Step 300, Loss 0.0636
Step 400, Loss 0.0614
Step 500, Loss 0.0602
Step 600, Loss 0.0627
Step 700, Loss 0.0590
Step 800, Loss 0.0580
Step 900, Loss 0.0598
Step 999, Loss 0.0572
24 回目
Step 0, Loss 5.2173
Step 100, Loss 0.2143
Step 200, Loss 0.0682
Step 300, Loss 0.0616
Step 400, Loss 0.0598
Step 500, Loss 0.0590
Step 600, Loss 0.0585
Step 700, Loss 0.0582
Step 800, Loss 0.0578
Step 900, Loss 0.0576
Step 999, Loss 0.0572
25 回目
Step 0, Loss 7.8470
Step 100, Loss 0.4140
Step 200, Loss 0.1108
Step 300, Loss 0.0871
Step 400, Loss 0.0796
Step 500, Loss 0.0735
Step 600, Loss 0.0690
Step 700, Loss 0.0666
Step 800, Loss 0.0638
Step 900, Loss 0.0628
Step 999, Loss 0.0619
26 回目
Step 0, Loss 28.1182
Step 100, Loss 0.3463
Step 200, Loss 0.0843
Step 300, Loss 0.0695
Step 400, Loss 0.0662
Step 500, Loss 0.0715
Step 600, Loss 0.0623
Step 700, Loss 0.0616
Step 800, Loss 0.0607
Step 900, Loss 0.0597
Step 999, Loss 0.0593
27 回目
Step 0, Loss 9.0469
Step 100, Loss 0.8537
Step 200, Loss 0.1362
Step 300, Loss 0.0705
Step 400, Loss 0.0655
Step 500, Loss 0.0639
Step 600, Loss 0.0650
Step 700, Loss 0.0609
Step 800, Loss 0.0598
Step 900, Loss 0.0591
Step 999, Loss 0.0586
28 回目
Step 0, Loss 8.3555
Step 100, Loss 0.5562
Step 200, Loss 0.1453
Step 300, Loss 0.0884
Step 400, Loss 0.0690
Step 500, Loss 0.0637
Step 600, Loss 0.0621
Step 700, Loss 0.0612
Step 800, Loss 0.0606
Step 900, Loss 0.0601
Step 999, Loss 0.0594
29 回目
Step 0, Loss 8.4037
Step 100, Loss 0.2060
Step 200, Loss 0.0924
Step 300, Loss 0.0792
Step 400, Loss 0.0712
Step 500, Loss 0.0658
Step 600, Loss 0.0630
Step 700, Loss 0.0612
Step 800, Loss 0.0600
Step 900, Loss 0.0593
Step 999, Loss 0.0587
30 回目
Step 0, Loss 5.4418
Step 100, Loss 0.1302
Step 200, Loss 0.0685
Step 300, Loss 0.0628
Step 400, Loss 0.0608
Step 500, Loss 0.0600
Step 600, Loss 0.0605
Step 700, Loss 0.0609
Step 800, Loss 0.0586
Step 900, Loss 0.0584
Step 999, Loss 0.0576
31 回目
Step 0, Loss 7.1919
Step 100, Loss 0.2373
Step 200, Loss 0.0862
Step 300, Loss 0.0666
Step 400, Loss 0.0626
Step 500, Loss 0.0613
Step 600, Loss 0.0606
Step 700, Loss 0.0600
Step 800, Loss 0.0596
Step 900, Loss 0.0597
Step 999, Loss 0.0588
32 回目
Step 0, Loss 6.1432
Step 100, Loss 0.5142
Step 200, Loss 0.0788
Step 300, Loss 0.0657
Step 400, Loss 0.0629
Step 500, Loss 0.0611
Step 600, Loss 0.0598
Step 700, Loss 0.0589
Step 800, Loss 0.0584
Step 900, Loss 0.0577
Step 999, Loss 0.0573
33 回目
Step 0, Loss 4.9167
Step 100, Loss 0.1635
Step 200, Loss 0.0658
Step 300, Loss 0.0629
Step 400, Loss 0.0614
Step 500, Loss 0.0622
Step 600, Loss 0.0615
Step 700, Loss 0.0591
Step 800, Loss 0.0584
Step 900, Loss 0.0587
Step 999, Loss 0.0572
34 回目
Step 0, Loss 5.6151
Step 100, Loss 0.1058
Step 200, Loss 0.0639
Step 300, Loss 0.0608
Step 400, Loss 0.0593
Step 500, Loss 0.0583
Step 600, Loss 0.0577
Step 700, Loss 0.0572
Step 800, Loss 0.0574
Step 900, Loss 0.0571
Step 999, Loss 0.0562
35 回目
Step 0, Loss 4.5762
Step 100, Loss 0.1826
Step 200, Loss 0.0666
Step 300, Loss 0.0622
Step 400, Loss 0.0606
Step 500, Loss 0.0597
Step 600, Loss 0.0591
Step 700, Loss 0.0587
Step 800, Loss 0.0589
Step 900, Loss 0.0580
Step 999, Loss 0.0577
36 回目
Step 0, Loss 6.0726
Step 100, Loss 0.0903
Step 200, Loss 0.0641
Step 300, Loss 0.0610
Step 400, Loss 0.0595
Step 500, Loss 0.0585
Step 600, Loss 0.0579
Step 700, Loss 0.0573
Step 800, Loss 0.0595
Step 900, Loss 0.0568
Step 999, Loss 0.0562
37 回目
Step 0, Loss 7.3833
Step 100, Loss 0.1818
Step 200, Loss 0.0818
Step 300, Loss 0.0684
Step 400, Loss 0.0636
Step 500, Loss 0.0619
Step 600, Loss 0.0600
Step 700, Loss 0.0592
Step 800, Loss 0.0587
Step 900, Loss 0.0585
Step 999, Loss 0.0581
38 回目
Step 0, Loss 8.3314
Step 100, Loss 1.1308
Step 200, Loss 0.1672
Step 300, Loss 0.0861
Step 400, Loss 0.0771
Step 500, Loss 0.0738
Step 600, Loss 0.0712
Step 700, Loss 0.0686
Step 800, Loss 0.0659
Step 900, Loss 0.0637
Step 999, Loss 0.0622
39 回目
Step 0, Loss 6.1405
Step 100, Loss 0.1330
Step 200, Loss 0.0642
Step 300, Loss 0.0608
Step 400, Loss 0.0596
Step 500, Loss 0.0588
Step 600, Loss 0.0582
Step 700, Loss 0.0577
Step 800, Loss 0.0573
Step 900, Loss 0.0658
Step 999, Loss 0.0565
40 回目
Step 0, Loss 5.1577
Step 100, Loss 0.2674
Step 200, Loss 0.0729
Step 300, Loss 0.0642
Step 400, Loss 0.0622
Step 500, Loss 0.0608
Step 600, Loss 0.0600
Step 700, Loss 0.0595
Step 800, Loss 0.0590
Step 900, Loss 0.0590
Step 999, Loss 0.0585
41 回目
Step 0, Loss 5.1447
Step 100, Loss 0.0938
Step 200, Loss 0.0684
Step 300, Loss 0.0633
Step 400, Loss 0.0610
Step 500, Loss 0.0600
Step 600, Loss 0.0592
Step 700, Loss 0.0587
Step 800, Loss 0.0581
Step 900, Loss 0.0577
Step 999, Loss 0.0572
42 回目
Step 0, Loss 6.8188
Step 100, Loss 0.1403
Step 200, Loss 0.0740
Step 300, Loss 0.0658
Step 400, Loss 0.0628
Step 500, Loss 0.0614
Step 600, Loss 0.0600
Step 700, Loss 0.0592
Step 800, Loss 0.0585
Step 900, Loss 0.0578
Step 999, Loss 0.0575
43 回目
Step 0, Loss 4.7461
Step 100, Loss 0.0931
Step 200, Loss 0.0643
Step 300, Loss 0.0611
Step 400, Loss 0.0598
Step 500, Loss 0.0591
Step 600, Loss 0.0586
Step 700, Loss 0.0590
Step 800, Loss 0.0581
Step 900, Loss 0.0612
Step 999, Loss 0.0573
44 回目
Step 0, Loss 4.0072
Step 100, Loss 0.2934
Step 200, Loss 0.0862
Step 300, Loss 0.0671
Step 400, Loss 0.0618
Step 500, Loss 0.0602
Step 600, Loss 0.0595
Step 700, Loss 0.0589
Step 800, Loss 0.0584
Step 900, Loss 0.0581
Step 999, Loss 0.0577
45 回目
Step 0, Loss 4.6145
Step 100, Loss 0.1571
Step 200, Loss 0.0674
Step 300, Loss 0.0625
Step 400, Loss 0.0612
Step 500, Loss 0.0595
Step 600, Loss 0.0588
Step 700, Loss 0.0584
Step 800, Loss 0.0617
Step 900, Loss 0.0575
Step 999, Loss 0.0571
46 回目
Step 0, Loss 4.8712
Step 100, Loss 0.1719
Step 200, Loss 0.0706
Step 300, Loss 0.0658
Step 400, Loss 0.0631
Step 500, Loss 0.0624
Step 600, Loss 0.0606
Step 700, Loss 0.0591
Step 800, Loss 0.0593
Step 900, Loss 0.0598
Step 999, Loss 0.0576
47 回目
Step 0, Loss 6.3196
Step 100, Loss 0.1399
Step 200, Loss 0.0649
Step 300, Loss 0.0611
Step 400, Loss 0.0602
Step 500, Loss 0.0604
Step 600, Loss 0.0583
Step 700, Loss 0.0579
Step 800, Loss 0.0595
Step 900, Loss 0.0573
Step 999, Loss 0.0571
48 回目
Step 0, Loss 6.0329
Step 100, Loss 0.5114
Step 200, Loss 0.0828
Step 300, Loss 0.0650
Step 400, Loss 0.0625
Step 500, Loss 0.0611
Step 600, Loss 0.0608
Step 700, Loss 0.0595
Step 800, Loss 0.0604
Step 900, Loss 0.0595
Step 999, Loss 0.0583
49 回目
Step 0, Loss 8.9050
Step 100, Loss 0.3944
Step 200, Loss 0.1747
Step 300, Loss 0.0845
Step 400, Loss 0.0694
Step 500, Loss 0.0629
Step 600, Loss 0.0603
Step 700, Loss 0.0591
Step 800, Loss 0.0583
Step 900, Loss 0.0576
Step 999, Loss 0.0570
50 回目
Step 0, Loss 7.1439
Step 100, Loss 0.2585
Step 200, Loss 0.0730
Step 300, Loss 0.0656
Step 400, Loss 0.0626
Step 500, Loss 0.0612
Step 600, Loss 0.0603
Step 700, Loss 0.0596
Step 800, Loss 0.0591
Step 900, Loss 0.0591
Step 999, Loss 0.0582
51 回目
Step 0, Loss 5.8051
Step 100, Loss 0.1934
Step 200, Loss 0.0740
Step 300, Loss 0.0674
Step 400, Loss 0.0633
Step 500, Loss 0.0608
Step 600, Loss 0.0596
Step 700, Loss 0.0589
Step 800, Loss 0.0584
Step 900, Loss 0.0581
Step 999, Loss 0.0577
52 回目
Step 0, Loss 6.8340
Step 100, Loss 0.1306
Step 200, Loss 0.0640
Step 300, Loss 0.0609
Step 400, Loss 0.0595
Step 500, Loss 0.0595
Step 600, Loss 0.0582
Step 700, Loss 0.0577
Step 800, Loss 0.0601
Step 900, Loss 0.0570
Step 999, Loss 0.0602
53 回目
Step 0, Loss 4.6019
Step 100, Loss 0.0884
Step 200, Loss 0.0649
Step 300, Loss 0.0608
Step 400, Loss 0.0594
Step 500, Loss 0.0587
Step 600, Loss 0.0582
Step 700, Loss 0.0589
Step 800, Loss 0.0576
Step 900, Loss 0.0575
Step 999, Loss 0.0577
54 回目
Step 0, Loss 7.1978
Step 100, Loss 0.4323
Step 200, Loss 0.0874
Step 300, Loss 0.0716
Step 400, Loss 0.0657
Step 500, Loss 0.0621
Step 600, Loss 0.0604
Step 700, Loss 0.0592
Step 800, Loss 0.0589
Step 900, Loss 0.0587
Step 999, Loss 0.0576
55 回目
Step 0, Loss 7.8980
Step 100, Loss 0.1692
Step 200, Loss 0.0875
Step 300, Loss 0.0738
Step 400, Loss 0.0665
Step 500, Loss 0.0631
Step 600, Loss 0.0612
Step 700, Loss 0.0611
Step 800, Loss 0.0594
Step 900, Loss 0.0590
Step 999, Loss 0.0583
56 回目
Step 0, Loss 5.6335
Step 100, Loss 0.0983
Step 200, Loss 0.0663
Step 300, Loss 0.0620
Step 400, Loss 0.0605
